agent_id,agent_name,province,type,status,health_score,calls,tokens,person_year,satisfaction,trend
AGT1000,数智员工·灵运联动AI助手,重庆,交叉营销,优秀,A,850000,2380000000,148.0,4.8,上升
AGT1001,重复来电场景助手,辽宁,话术,活跃,C,216513,565178801,2.3,3.64,下降
AGT1002,青海-工单助手-3,青海,工单,活跃,B,699546,1616689083,9.4,4.44,平稳
AGT1003,辽宁-RPA助手-4,辽宁,RPA,沉睡,D,92627,344518995,0.7,2.7,平稳
AGT1004,浙江-问答助手-5,浙江,问答,活跃,B,51756,145011718,0.3,3.4,上升
AGT1005,香港-质检助手-6,香港,质检,活跃,C,340806,1199061512,1.4,3.89,平稳
AGT1006,江苏-教练助手-7,江苏,教练,推广,B,48602,123642022,0.2,4.68,下降
AGT1007,江苏-问答助手-8,江苏,问答,活跃,C,12300,33509135,0.1,3.55,上升
AGT1008,上海-交叉营销助手-9,上海,交叉营销,活跃,B,93011,408008181,1.6,4.17,上升
AGT1009,江苏-工单助手-10,江苏,工单,活跃,B,125750,517104146,1.1,4.35,平稳
AGT1010,河北-问答助手-11,河北,问答,推广,A,4528,16905033,0.1,3.83,上升
AGT1011,黑龙江-工单助手-12,黑龙江,工单,活跃,C,166382,586364238,3.2,3.04,上升
AGT1012,海南-教练助手-13,海南,教练,活跃,B,217746,919432817,2.8,3.48,平稳
AGT1013,辽宁-问答助手-14,辽宁,问答,活跃,B,14609,47630191,0.1,3.98,上升
AGT1014,重庆-问答助手-15,重庆,问答,沉睡,D,24234,95474523,0.4,3.63,平稳
AGT1015,四川-RPA助手-16,四川,RPA,沉睡,C,24466,81270383,0.1,4.34,平稳
AGT1016,江苏-质检助手-17,江苏,质检,活跃,B,109661,437276400,0.6,3.89,上升
AGT1017,山东-话术助手-18,山东,话术,活跃,B,93238,388802364,1.6,3.89,平稳
AGT1018,江苏-问答助手-19,江苏,问答,活跃,B,32553,96442987,0.6,3.95,平稳
AGT1019,吉林-交叉营销助手-20,吉林,交叉营销,活跃,C,210975,601786130,4.4,2.96,上升
AGT1020,河南-话术助手-21,河南,话术,活跃,C,188151,834656326,3.8,3.7,上升
AGT1021,黑龙江-RPA助手-22,黑龙江,RPA,推广,A,49624,104203945,0.5,4.54,下降
AGT1022,宁夏-质检助手-23,宁夏,质检,活跃,B,191945,691523180,1.6,4.18,平稳
AGT1023,江苏-其他助手-24,江苏,其他,活跃,B,467218,1707952961,7.3,3.77,上升
AGT1024,河北-问答助手-25,河北,问答,推广,A,268887,1136606959,2.9,4.31,平稳
