page_name,module,clicks,exposures,visits,conversion_rate,trend
应用发布,灵犀,719,4156,435,17.3,上升
内测白名单,灵犀,86,432,80,19.91,平稳
业务流程,灵犀,3090,9473,2021,32.62,平稳
回放管理,灵犀,763,3966,499,19.24,上升
业务接口,灵犀,235,1089,142,21.58,平稳
意图配置,灵犀,655,1066,498,61.44,平稳
标注任务,标注,3695,9507,2728,38.87,平稳
标注审核,标注,5322,11326,4846,46.99,平稳
标注合并,标注,3364,6367,2738,52.83,平稳
问答入口,AI问答,1099,25537,757,4.3,平稳
问答历史,AI问答,662,20949,518,3.16,平稳
热门推荐,智能体广场,428,1315,341,32.55,平稳
场景导航,智能体广场,368,1430,267,25.73,平稳
省份精选,智能体广场,1058,3512,974,30.13,平稳
权限管理,管理后台,806,2749,772,29.32,下降
数据看板,管理后台,445,2195,424,20.27,平稳
配置中心,管理后台,208,506,187,41.11,平稳
我的智能体,个人中心,1466,2952,956,49.66,下降
使用记录,个人中心,539,3998,497,13.48,平稳
