week_start,province,tier,calls,tokens,active_agents,person_year_saved,clicks,visits,exposures,conversion_rate
2026-05-25,广东,引领层,38866,35255880,1,64.2,32,0,111,28.83
2026-05-25,北京,引领层,4424,255716143,3,1.1,67,0,206,32.52
2026-05-25,浙江,引领层,35665,150879081,1,0.0,653,4,65,95.0
2026-05-25,江苏,引领层,213172,66361014,17,0.7,1,0,1,95.0
2026-05-25,四川,成长层,49639,4066229,1,1.0,199,0,835,23.83
2026-05-25,山东,成长层,37249,5835251,11,41.5,12,62,2516,0.48
2026-05-25,湖南,成长层,1434,693123075,12,0.0,24,6,124,19.35
2026-05-25,湖北,成长层,5193,262853717,4,0.0,2,0,0,95.0
2026-05-25,安徽,成长层,126045,7006135,4,0.0,114,115,234,48.72
2026-05-25,河南,成长层,1857,201201053,8,1.0,51,0,11,95.0
2026-05-25,河北,成长层,148228,19368529,1,0.2,0,8,554,0.0
2026-05-25,福建,成长层,12104,207220993,1,0.2,5,30,1752,0.29
2026-05-25,上海,成长层,3151,137828570,6,0.0,705,229,438,95.0
2026-05-25,陕西,成长层,21442,52046007,1,1.3,130,97,375,34.67
2026-05-25,重庆,成长层,7524,467569933,1,0.3,200,60,345,57.97
2026-05-25,辽宁,成长层,3275,7358457,1,0.0,3,14,964,0.31
2026-05-25,江西,成长层,28650,31921524,3,1.3,492,64,86,95.0
2026-05-25,云南,成长层,607,3949,2,43.4,11,21,70,15.71
2026-05-25,广西,成长层,6447,2078987,3,28.4,20,25,4,95.0
2026-05-25,西藏,潜力层,47900,93004013,5,0.0,17,0,9,95.0
2026-05-25,青海,潜力层,103,5569195,5,11.3,9,1,834,1.08
2026-05-25,宁夏,潜力层,34370,27193551,16,9.5,50,15,9,95.0
2026-05-25,新疆,潜力层,22618,2895403,72,15.6,3,20,186,1.61
2026-05-25,海南,潜力层,24696,283189633,1,0.0,0,24,332,0.0
2026-05-25,甘肃,潜力层,586,8342062,1,0.0,32,0,44,72.73
2026-05-25,贵州,潜力层,4904,64558055,1,0.0,248,26,11,95.0
2026-05-25,黑龙江,潜力层,17734,2217402,1,2.0,2,181,69,2.9
2026-05-25,吉林,潜力层,12888,39366740,20,33.0,41,2,55,74.55
2026-05-25,山西,潜力层,71932,11546,1,8.2,0,8,391,0.0
2026-05-25,内蒙古,潜力层,20654,21154382,1,0.4,45,10,627,7.18
2026-05-25,天津,潜力层,100452,229845666,4,0.0,0,0,53,0.0
2026-05-25,台湾,潜力层,4081,511207270,1,0.1,1048,84,0,95.0
2026-05-25,香港,潜力层,76216,35332418,1,23.1,75,0,70,95.0
2026-05-25,澳门,潜力层,820,5435268,1,0.0,43,35,26,95.0
2026-06-01,广东,引领层,178478,778157638,1,0.0,185,18,42,95.0
2026-06-01,北京,引领层,78502,124850677,1,0.0,142,2,945,15.03
2026-06-01,浙江,引领层,67288,70344947,8,2.0,76,7,361,21.05
2026-06-01,江苏,引领层,4671,104050024,1,113.8,0,75,238,0.0
2026-06-01,四川,成长层,46646,984732,1,9.7,111,5,163,68.1
2026-06-01,山东,成长层,60983,89027721,1,0.0,131,2,585,22.39
2026-06-01,湖南,成长层,110639,770861,39,13.8,8,14,96,8.33
2026-06-01,湖北,成长层,57778,169812969,1,13.9,16,33,371,4.31
2026-06-01,安徽,成长层,28441,650833572,77,7.1,815,10,3,95.0
2026-06-01,河南,成长层,1034,4595706,2,39.3,0,7,457,0.0
2026-06-01,河北,成长层,5655,604037159,1,5.3,237,0,925,25.62
2026-06-01,福建,成长层,19917,87258,10,4.3,0,0,882,0.0
2026-06-01,上海,成长层,39867,270501249,10,0.5,167,0,0,95.0
2026-06-01,陕西,成长层,30805,227468407,1,0.0,34,9,176,19.32
2026-06-01,重庆,成长层,27751,3543514,1,17.1,0,470,2,0.0
2026-06-01,辽宁,成长层,28496,100578899,9,0.0,456,89,28,95.0
2026-06-01,江西,成长层,10866,15028136,3,3.4,1,11,557,0.18
2026-06-01,云南,成长层,33792,125173143,1,7.7,3,0,352,0.85
2026-06-01,广西,成长层,21939,144698993,1,4.4,447,15,264,95.0
2026-06-01,西藏,潜力层,4138,78892293,1,26.5,13,9,71,18.31
2026-06-01,青海,潜力层,18466,25905438,1,0.9,116,8,82,95.0
2026-06-01,宁夏,潜力层,668,13307843,14,3.0,227,49,0,95.0
2026-06-01,新疆,潜力层,275,3320357,1,2.2,289,12,0,95.0
2026-06-01,海南,潜力层,238,24582670,1,9.5,0,270,92,0.0
2026-06-01,甘肃,潜力层,43447,131958492,1,0.8,479,0,462,95.0
2026-06-01,贵州,潜力层,125830,1217582,1,0.7,49,0,2699,1.82
2026-06-01,黑龙江,潜力层,48715,38030936,22,0.0,792,15,127,95.0
2026-06-01,吉林,潜力层,47758,60276970,1,45.8,0,83,180,0.0
2026-06-01,山西,潜力层,17653,147762855,1,0.0,6,25,928,0.65
2026-06-01,内蒙古,潜力层,3448,170554051,1,0.0,1,14,286,0.35
2026-06-01,天津,潜力层,46194,2322919,14,1.3,13,56,42,30.95
2026-06-01,台湾,潜力层,51748,37682187,1,0.1,9,0,76,11.84
2026-06-01,香港,潜力层,45443,265056,1,0.0,4,0,251,1.59
2026-06-01,澳门,潜力层,659,16287111,1,1.9,88,1,0,95.0
2026-06-08,广东,引领层,39883,48670988,21,23.1,10,9,490,2.04
2026-06-08,北京,引领层,80503,447123981,6,1.1,353,39,49,95.0
2026-06-08,浙江,引领层,144839,9174793,1,1.0,166,20,1414,11.74
2026-06-08,江苏,引领层,5813,366608006,45,19.7,3,0,8,37.5
2026-06-08,四川,成长层,12125,536638825,1,14.9,87,0,1806,4.82
2026-06-08,山东,成长层,55684,297259009,22,6.3,95,18,2348,4.05
2026-06-08,湖南,成长层,137465,23555803,11,0.0,714,28,371,95.0
2026-06-08,湖北,成长层,21873,247866569,1,2.1,100,3,57,95.0
2026-06-08,安徽,成长层,7,7020893,1,35.3,94,0,280,33.57
2026-06-08,河南,成长层,6204,236646937,2,0.0,118,19,1136,10.39
2026-06-08,河北,成长层,0,72888241,10,30.4,88,0,33,95.0
2026-06-08,福建,成长层,71507,3747065,8,0.7,2,126,345,0.58
2026-06-08,上海,成长层,4604,815420,1,0.1,159,1,1950,8.15
2026-06-08,陕西,成长层,11643,65594069,1,2.7,112,5,1522,7.36
2026-06-08,重庆,成长层,1865,9460,1,33.7,96,279,44,95.0
2026-06-08,辽宁,成长层,20,20063175,1,6.0,44,2,71,61.97
2026-06-08,江西,成长层,2239,139777077,1,0.0,387,20,342,95.0
2026-06-08,云南,成长层,72,12516415,10,5.6,0,12,315,0.0
2026-06-08,广西,成长层,107704,9704303,1,29.3,0,39,228,0.0
2026-06-08,西藏,潜力层,3027,146988049,1,0.0,11,92,172,6.4
2026-06-08,青海,潜力层,75546,107589572,1,56.8,21,0,169,12.43
2026-06-08,宁夏,潜力层,69162,50490790,1,4.5,23,20,0,95.0
2026-06-08,新疆,潜力层,2613,30364997,14,0.3,273,0,3,95.0
