week_start,domain,metric_name,value,unit,target
2026-05-25,智能质检,质检覆盖率,84.5,%,95
2026-05-25,智能质检,质检合格率,91.9,%,98
2026-05-25,智能质检,违规点闭环率,69.2,%,90
2026-06-01,智能质检,质检覆盖率,85.6,%,95
2026-06-01,智能质检,质检合格率,92.8,%,98
2026-06-01,智能质检,违规点闭环率,71.8,%,90
2026-06-08,智能质检,质检覆盖率,87.5,%,95
2026-06-08,智能质检,质检合格率,93.0,%,98
2026-06-08,智能质检,违规点闭环率,74.3,%,90
2026-06-15,智能质检,质检覆盖率,88.1,%,95
2026-06-15,智能质检,质检合格率,93.7,%,98
2026-06-15,智能质检,违规点闭环率,76.7,%,90
2026-06-22,智能质检,质检覆盖率,89.0,%,95
2026-06-22,智能质检,质检合格率,94.7,%,98
2026-06-22,智能质检,违规点闭环率,79.3,%,90
2026-06-29,智能质检,质检覆盖率,90.6,%,95
2026-06-29,智能质检,质检合格率,95.4,%,98
2026-06-29,智能质检,违规点闭环率,81.7,%,90
2026-07-06,智能质检,质检覆盖率,91.7,%,95
2026-07-06,智能质检,质检合格率,95.9,%,98
2026-07-06,智能质检,违规点闭环率,83.0,%,90
2026-07-13,智能质检,质检覆盖率,92.6,%,95
2026-07-13,智能质检,质检合格率,96.5,%,98
2026-07-13,智能质检,违规点闭环率,86.0,%,90
2026-07-20,智能质检,质检覆盖率,94.0,%,95
2026-07-20,智能质检,质检合格率,97.0,%,98
2026-07-20,智能质检,违规点闭环率,87.3,%,90
2026-07-27,智能质检,质检覆盖率,94.7,%,95
2026-07-27,智能质检,质检合格率,98.1,%,98
2026-07-27,智能质检,违规点闭环率,90.6,%,90
2026-05-25,智能教练,教练覆盖率,60.3,%,85
2026-05-25,智能教练,跟练完成率,64.5,%,88
2026-05-25,智能教练,能力达标率,54.8,%,80
2026-06-01,智能教练,教练覆盖率,61.7,%,85
2026-06-01,智能教练,跟练完成率,66.6,%,88
2026-06-01,智能教练,能力达标率,58.4,%,80
2026-06-08,智能教练,教练覆盖率,66.6,%,85
2026-06-08,智能教练,跟练完成率,69.6,%,88
2026-06-08,智能教练,能力达标率,60.6,%,80
2026-06-15,智能教练,教练覆盖率,68.9,%,85
2026-06-15,智能教练,跟练完成率,71.5,%,88
2026-06-15,智能教练,能力达标率,62.5,%,80
2026-06-22,智能教练,教练覆盖率,72.6,%,85
2026-06-22,智能教练,跟练完成率,74.6,%,88
2026-06-22,智能教练,能力达标率,65.8,%,80
2026-06-29,智能教练,教练覆盖率,73.4,%,85
2026-06-29,智能教练,跟练完成率,76.4,%,88
2026-06-29,智能教练,能力达标率,69.0,%,80
2026-07-06,智能教练,教练覆盖率,76.6,%,85
2026-07-06,智能教练,跟练完成率,80.5,%,88
2026-07-06,智能教练,能力达标率,71.6,%,80
2026-07-13,智能教练,教练覆盖率,79.1,%,85
2026-07-13,智能教练,跟练完成率,82.5,%,88
2026-07-13,智能教练,能力达标率,74.1,%,80
2026-07-20,智能教练,教练覆盖率,81.5,%,85
2026-07-20,智能教练,跟练完成率,84.9,%,88
2026-07-20,智能教练,能力达标率,76.5,%,80
2026-07-27,智能教练,教练覆盖率,85.4,%,85
2026-07-27,智能教练,跟练完成率,88.2,%,88
2026-07-27,智能教练,能力达标率,80.0,%,80
2026-05-25,智能工单,工单自动解决率,46.3,%,68
2026-05-25,智能工单,平均处理时长,7.9, min,5
2026-05-25,智能工单,转人工率,25.4,%,12
2026-06-01,智能工单,工单自动解决率,47.4,%,68
2026-06-01,智能工单,平均处理时长,7.7, min,5
2026-06-01,智能工单,转人工率,23.8,%,12
2026-06-08,智能工单,工单自动解决率,49.8,%,68
2026-06-08,智能工单,平均处理时长,7.2, min,5
2026-06-08,智能工单,转人工率,21.8,%,12
2026-06-15,智能工单,工单自动解决率,51.2,%,68
2026-06-15,智能工单,平均处理时长,7.1, min,5
2026-06-15,智能工单,转人工率,20.9,%,12
2026-06-22,智能工单,工单自动解决率,56.3,%,68
2026-06-22,智能工单,平均处理时长,6.7, min,5
2026-06-22,智能工单,转人工率,19.5,%,12
2026-06-29,智能工单,工单自动解决率,57.7,%,68
2026-06-29,智能工单,平均处理时长,6.4, min,5
2026-06-29,智能工单,转人工率,18.2,%,12
2026-07-06,智能工单,工单自动解决率,60.5,%,68
2026-07-06,智能工单,平均处理时长,6.0, min,5
2026-07-06,智能工单,转人工率,16.2,%,12
2026-07-13,智能工单,工单自动解决率,63.4,%,68
2026-07-13,智能工单,平均处理时长,5.6, min,5
2026-07-13,智能工单,转人工率,15.2,%,12
2026-07-20,智能工单,工单自动解决率,66.8,%,68
2026-07-20,智能工单,平均处理时长,5.4, min,5
2026-07-20,智能工单,转人工率,13.7,%,12
2026-07-27,智能工单,工单自动解决率,68.2,%,68
2026-07-27,智能工单,平均处理时长,4.9, min,5
2026-07-27,智能工单,转人工率,11.7,%,12
2026-05-25,RPA平台,执行成功率,95.9,%,99
2026-05-25,RPA平台,节省工时,1239.9, h,3600
2026-05-25,RPA平台,失败重跑率,7.9,%,3
2026-06-01,RPA平台,执行成功率,96.3,%,99
2026-06-01,RPA平台,节省工时,1496.8, h,3600
2026-06-01,RPA平台,失败重跑率,7.3,%,3
2026-06-08,RPA平台,执行成功率,96.6,%,99
2026-06-08,RPA平台,节省工时,1756.6, h,3600
2026-06-08,RPA平台,失败重跑率,6.8,%,3
2026-06-15,RPA平台,执行成功率,97.0,%,99
2026-06-15,RPA平台,节省工时,1925.6, h,3600
2026-06-15,RPA平台,失败重跑率,6.3,%,3
2026-06-22,RPA平台,执行成功率,97.5,%,99
2026-06-22,RPA平台,节省工时,2234.5, h,3600
2026-06-22,RPA平台,失败重跑率,5.6,%,3
2026-06-29,RPA平台,执行成功率,97.8,%,99
2026-06-29,RPA平台,节省工时,2571.0, h,3600
2026-06-29,RPA平台,失败重跑率,5.3,%,3
2026-07-06,RPA平台,执行成功率,97.9,%,99
2026-07-06,RPA平台,节省工时,2715.3, h,3600
2026-07-06,RPA平台,失败重跑率,4.4,%,3
2026-07-13,RPA平台,执行成功率,98.4,%,99
2026-07-13,RPA平台,节省工时,3140.1, h,3600
2026-07-13,RPA平台,失败重跑率,4.2,%,3
2026-07-20,RPA平台,执行成功率,98.8,%,99
2026-07-20,RPA平台,节省工时,3301.5, h,3600
2026-07-20,RPA平台,失败重跑率,3.5,%,3
2026-07-27,RPA平台,执行成功率,99.0,%,99
2026-07-27,RPA平台,节省工时,3583.5, h,3600
2026-07-27,RPA平台,失败重跑率,3.1,%,3
