week_start,week_end,calls,tokens,token_per_call,active_agents,new_agents,excellent_cases,person_year_saved_cum,clicks,visits,exposures,conversion_rate
2026-05-25,2026-05-31,1184944,3937017149,3322.5,211,19,6,288,4350,1152,11424,35.61
2026-06-01,2026-06-07,1308246,4236912382,3238.6,222,25,6,335,4933,1324,11761,34.02
2026-06-08,2026-06-14,1321421,5270538152,3988.5,229,12,7,378,4797,1212,16199,30.37
2026-06-15,2026-06-21,1513404,5847010212,3863.5,238,27,8,422,4920,1211,16272,26.77
2026-06-22,2026-06-28,1625868,6845731972,4210.5,258,16,8,453,5291,1163,17349,24.48
2026-06-29,2026-07-05,1726366,7550501355,4373.6,271,22,11,498,6263,1223,19938,27.0
2026-07-06,2026-07-12,1821147,8902518748,4888.4,285,21,14,552,7089,1183,21069,30.55
2026-07-13,2026-07-19,1880127,10747629087,5716.4,297,30,12,589,7990,1250,22473,32.15
2026-07-20,2026-07-26,2096856,12282114747,5857.4,312,28,14,632,8607,1202,25548,35.69
2026-07-27,2026-08-02,2295476,14312578418,6235.1,325,28,16,684,9450,1186,26302,38.35
